id,caixa,nivel,premio
1,Shopee,Comum,Mini impressora térmica
2,Shopee,Comum,Mini seladora de embalagens
3,Shopee,Comum,Carregador magnético sem fio
4,Shopee,Comum,Fone Bluetooth TWS
5,Shopee,Comum,Luminária sunset ou RGB
6,Shopee,Comum,Copo térmico grande
7,Shopee,Comum,Organizador de cabos
8,Shopee,Comum,Mini aspirador portátil
9,Shopee,Comum,Liquidificador portátil
10,Shopee,Comum,Caixa de som Bluetooth
11,Shopee,Intermediário,Smartwatch
12,Shopee,Intermediário,Projetor portátil
13,Shopee,Intermediário,Extratora portátil para sofá
14,Shopee,Intermediário,Air fryer
15,Shopee,Intermediário,Robô aspirador básico
16,Shopee,Intermediário,Escova secadora
17,Shopee,Intermediário,Kit de ferramentas sem fio
18,Shopee,Jackpot,Smartphone
19,Shopee,Jackpot,Notebook
20,Shopee,Jackpot,Console de videogame
21,Shopee,Jackpot,Smart TV
22,Shopee,Jackpot,Robô aspirador premium
23,Copa/Futebol,Comum,Camisa retrô de futebol
24,Copa/Futebol,Comum,Camisa personalizada com nome
25,Copa/Futebol,Comum,Cachecol de seleção ou clube
26,Copa/Futebol,Comum,Boné ou bucket hat de futebol
27,Copa/Futebol,Comum,Mini bola de futebol
28,Copa/Futebol,Comum,Copo térmico de futebol
29,Copa/Futebol,Comum,Álbum e pacotes de figurinhas
30,Copa/Futebol,Comum,Chaveiro de chuteira ou bola
31,Copa/Futebol,Comum,Munhequeira e faixa de capitão
32,Copa/Futebol,Comum,Medalha decorativa de futebol
33,Copa/Futebol,Intermediário,Camisa oficial de futebol
34,Copa/Futebol,Intermediário,Bola oficial ou réplica premium
35,Copa/Futebol,Intermediário,Chuteira
36,Copa/Futebol,Intermediário,Luva de goleiro profissional
37,Copa/Futebol,Intermediário,Caixa de som para torcida
38,Copa/Futebol,Intermediário,Smartband esportiva
39,Copa/Futebol,Intermediário,Kit completo de treino de futebol
40,Copa/Futebol,Jackpot,TV 50 ou 55 polegadas
41,Copa/Futebol,Jackpot,Console com EA Sports FC
42,Copa/Futebol,Jackpot,Ingresso para jogo de futebol
43,Copa/Futebol,Jackpot,Viagem para assistir a uma partida
44,Copa/Futebol,Jackpot,Camisa autografada com certificado
45,Steam,Comum,Gift Card Steam R$ 50
46,Steam,Comum,Gift Card Steam R$ 100
47,Steam,Comum,Gift Card Steam R$ 200
48,Steam,Comum,Mousepad gamer grande
49,Steam,Comum,Kit de keycaps
50,Steam,Comum,Caneca Steam
51,Steam,Comum,Luminária para setup gamer
52,Steam,Comum,Suporte para headset
